Длина волны, нм	амплитуда
 460.7	9
 461.0	11
 461.3	12
 461.6	11
 461.9	7
 462.2	4
 462.5	7
 462.8	10
 463.1	10
 463.4	10
 463.7	11
 464.0	8
 464.3	8
 464.6	10
 464.9	10
 465.2	8
 465.5	7
 465.8	9
 466.1	11
 466.4	12
 466.7	14
 467.0	16
 467.3	15
 467.6	13
 467.9	12
 468.2	10
 468.5	8
 468.8	10
 469.1	12
 469.5	13
 469.8	13
 470.1	14
 470.4	13
 470.7	11
 471.0	8
 471.3	8
 471.6	8
 471.9	9
 472.2	14
 472.5	17
 472.8	14
 473.1	13
 473.4	10
 473.7	5
 474.0	4
 474.3	5
 474.6	9
 474.9	11
 475.2	15
 475.5	12
 475.8	8
 476.1	8
 476.4	8
 476.7	10
 477.0	10
 477.3	12
 477.6	15
 477.9	14
 478.2	15
 478.5	11
 478.8	4
 479.1	5
 479.4	10
 479.7	15
 480.0	15
 480.3	17
 480.6	15
 480.9	11
 481.2	9
 481.5	10
 481.8	10
 482.1	9
 482.4	13
 482.7	16
 483.0	15
 483.3	12
 483.6	8
 483.9	6
 484.2	7
 484.5	11
 484.8	15
 485.1	15
 485.4	18
 485.7	18
 486.0	18
 486.3	11
 486.6	11
 486.9	17
 487.2	17
 487.5	20
 487.8	22
 488.1	21
 488.4	19
 488.7	14
 489.0	14
 489.3	15
 489.6	17
 489.9	20
 490.3	18
 490.6	15
 490.9	15
 491.2	13
 491.5	8
 491.8	10
 492.1	14
 492.4	18
 492.7	20
 493.0	20
 493.3	21
 493.6	22
 493.9	17
 494.2	16
 494.5	15
 494.8	16
 495.1	17
 495.4	15
 495.7	19
 496.0	18
 496.3	17
 496.6	18
 496.9	18
 497.2	18
 497.5	20
 497.8	21
 498.1	20
 498.4	20
 498.7	22
 499.0	20
 499.3	18
 499.6	17
 499.9	16
 500.2	16
 500.5	15
 500.8	19
 501.1	19
 501.4	18
 501.7	19
 502.0	20
 502.3	19
 502.6	20
 502.9	24
 503.2	24
 503.5	20
 503.8	22
 504.1	23
 504.4	20
 504.7	17
 505.0	18
 505.3	23
 505.6	23
 505.9	25
 506.2	25
 506.5	24
 506.8	24
 507.1	27
 507.4	22
 507.7	22
 508.0	23
 508.3	22
 508.6	23
 508.9	29
 509.2	31
 509.5	28
 509.8	28
 510.1	29
 510.4	28
 510.8	25
 511.1	27
 511.4	30
 511.7	30
 512.0	31
 512.3	33
 512.6	30
 512.9	38
 513.2	43
 513.5	52
 513.8	68
 514.1	87
 514.4	101
 514.7	110
 515.0	115
 515.3	124
 515.6	130
 515.9	126
 516.2	128
 516.5	124
 516.8	122
 517.1	121
 517.4	115
 517.7	109
 518.0	109
 518.3	103
 518.6	98
 518.9	94
 519.2	90
 519.5	85
 519.8	82
 520.1	78
 520.4	77
 520.7	75
 521.0	68
 521.3	68
 521.6	70
 521.9	71
 522.2	71
 522.5	69
 522.8	62
 523.1	62
 523.4	63
 523.7	61
 524.0	62
 524.3	66
 524.6	69
 524.9	67
 525.2	65
 525.5	69
 525.8	69
 526.1	66
 526.4	68
 526.7	73
 527.0	82
 527.3	87
 527.6	94
 527.9	108
 528.2	134
 528.5	182
 528.8	247
 529.1	334
 529.4	430
 529.7	564
 530.0	788
 530.3	1098
 530.6	1472
 530.9	1999
 531.3	2330
 531.6	2663
 531.9	2743
 532.2	2793
 532.5	2819
 532.8	2830
 533.1	2841
 533.4	2844
 533.7	2852
 534.0	2855
 534.3	2857
 534.6	2731
 534.9	2624
 535.2	2066
 535.5	1679
 535.8	1445
 536.1	1194
 536.4	997
 536.7	837
 537.0	743
 537.3	674
 537.6	602
 537.9	548
 538.2	503
 538.5	437
 538.8	365
 539.1	320
 539.4	278
 539.7	242
 540.0	213
 540.3	190
 540.6	166
 540.9	146
 541.2	127
 541.5	112
 541.8	102
 542.1	95
 542.4	94
 542.7	93
 543.0	90
 543.3	87
 543.6	82
 543.9	77
 544.2	74
 544.5	74
 544.8	74
 545.1	77
 545.4	77
 545.7	71
 546.0	69
 546.3	63
 546.6	58
 546.9	59
 547.2	58
 547.5	59
 547.8	60
 548.1	63
 548.4	63
 548.7	61
 549.0	61
 549.3	62
 549.6	63
 549.9	66
 550.2	72
 550.5	72
 550.8	69
 551.1	71
 551.4	73
 551.8	73
 552.1	71
 552.4	71
 552.7	73
 553.0	74
 553.3	73
 553.6	69
 553.9	67
 554.2	62
 554.5	58
 554.8	55
 555.1	52
 555.4	53
 555.7	52
 556.0	52
 556.3	54
 556.6	52
 556.9	52
 557.2	47
 557.5	40
 557.8	40
 558.1	39
 558.4	41
 558.7	42
 559.0	42
 559.3	42
 559.6	43
 559.9	39
 560.2	39
 560.5	41
 560.8	43
 561.1	43
 561.4	44
 561.7	45
 562.0	43
 562.3	41
 562.6	41
 562.9	41
 563.2	40
 563.5	43
 563.8	40
 564.1	37
 564.4	35
 564.7	35
 565.0	34
 565.3	32
 565.6	33
 565.9	36
 566.2	36
 566.5	36
 566.8	36
 567.1	34
 567.4	34
 567.7	32
 568.0	30
 568.3	31
 568.6	33
 568.9	31
 569.2	33
 569.5	34
 569.8	33
 570.1	32
 570.4	32
 570.7	32
 571.0	32
 571.3	33
 571.6	32
 571.9	31
 572.3	31
 572.6	32
 572.9	34
 573.2	33
 573.5	31
 573.8	31
 574.1	31
 574.4	30
 574.7	28
 575.0	29
 575.3	27
 575.6	26
 575.9	26
 576.2	26
 576.5	28
 576.8	31
 577.1	30
 577.4	30
 577.7	29
 578.0	27
 578.3	23
 578.6	21
 578.9	23
 579.2	24
 579.5	30
 579.8	30
 580.1	30
 580.4	29
 580.7	27
 581.0	21
 581.3	18
 581.6	20
 581.9	21
 582.2	25
 582.5	28
 582.8	26
 583.1	24
 583.4	23
 583.7	22
 584.0	21
 584.3	20
 584.6	24
 584.9	26
 585.2	26
 585.5	24
 585.8	22
 586.1	18
 586.4	16
 586.7	17
 587.0	19
 587.3	23
 587.6	25
 587.9	26
 588.2	27
 588.5	24
 588.8	19
 589.1	19
 589.4	20
 589.7	25
 590.0	26
 590.3	26
 590.6	24
 590.9	24
 591.2	25
 591.5	21
 591.8	20
 592.1	25
 592.4	30
 592.8	30
 593.1	27
 593.4	29
 593.7	26
 594.0	25
 594.3	25
 594.6	24
 594.9	24
 595.2	22
 595.5	25
 595.8	25
 596.1	21
 596.4	19
 596.7	22
 597.0	24
 597.3	23
 597.6	25
 597.9	27
 598.2	27
 598.5	31
 598.8	29
 599.1	26
 599.4	23
 599.7	22
 600.0	24
 600.3	24
 600.6	28
 600.9	29
 601.2	29
 601.5	27
 601.8	26
 602.1	28
 602.4	31
 602.7	32
 603.0	32
 603.3	31
 603.6	31
 603.9	28
 604.2	26
 604.5	26
 604.8	26
 605.1	26
 605.4	28
 605.7	32
 606.0	30
 606.3	24
 606.6	27
 606.9	31
 607.2	31
 607.5	33
 607.8	33
 608.1	30
 608.4	27
 608.7	29
 609.0	27
 609.3	24
 609.6	25
 609.9	26
 610.2	23
 610.5	22
 610.8	26
 611.1	26
 611.4	23
 611.7	23
 612.0	24
 612.3	24
 612.6	25
 612.9	28
 613.2	28
 613.6	22
 613.9	24
 614.2	28
 614.5	28
 614.8	25
 615.1	26
 615.4	30
 615.7	32
 616.0	36
 616.3	36
 616.6	32
 616.9	36
 617.2	43
 617.5	43
 617.8	44
 618.1	47
 618.4	45
 618.7	43
 619.0	44
 619.3	46
 619.6	48
 619.9	44
 620.2	45
 620.5	42
 620.8	38
 621.1	39
 621.4	38
 621.7	38
 622.0	37
 622.3	36
 622.6	37
 622.9	39
 623.2	41
 623.5	39
 623.8	35
 624.1	36
 624.4	37
 624.7	40
 625.0	39
 625.3	39
 625.6	37
 625.9	34
 626.2	34
 626.5	34
 626.8	36
 627.1	36
 627.4	34
 627.7	34
 628.0	37
 628.3	37
 628.6	36
 628.9	36
 629.2	36
 629.5	34
 629.8	33
 630.1	34
 630.4	34
 630.7	33
 631.0	34
 631.3	35
 631.6	36
 631.9	35
 632.2	31
 632.5	28
 632.8	27
 633.1	26
 633.4	29
 633.7	30
 634.1	27
 634.4	27
 634.7	27
 635.0	28
 635.3	24
 635.6	24
 635.9	24
 636.2	21
 636.5	23
 636.8	23
 637.1	21
 637.4	19
 637.7	17
 638.0	17
 638.3	18
 638.6	20
 638.9	22
 639.2	23
 639.5	23
 639.8	24
 640.1	24
 640.4	21
 640.7	20
 641.0	21
 641.3	21
 641.6	21
 641.9	20
 642.2	20
 642.5	20
 642.8	20
 643.1	19
