Длина волны, нм	амплитуда
 323.5	0
 323.8	0
 324.1	0
 324.4	0
 324.7	0
 325.0	0
 325.3	0
 325.7	0
 326.0	0
 326.3	0
 326.6	0
 326.9	0
 327.2	0
 327.5	0
 327.8	0
 328.1	0
 328.4	0
 328.7	0
 329.0	0
 329.3	0
 329.6	0
 329.9	0
 330.2	0
 330.5	0
 330.8	0
 331.1	0
 331.4	0
 331.7	0
 332.0	0
 332.3	0
 332.6	9
 332.9	8
 333.2	9
 333.5	7
 333.8	9
 334.1	13
 334.4	12
 334.7	11
 335.0	10
 335.3	10
 335.6	10
 335.9	10
 336.2	11
 336.5	11
 336.8	11
 337.1	11
 337.4	12
 337.7	12
 338.0	7
 338.3	8
 338.6	9
 338.9	12
 339.2	16
 339.5	16
 339.8	16
 340.1	14
 340.4	14
 340.7	13
 341.0	11
 341.3	12
 341.6	14
 341.9	14
 342.2	14
 342.5	14
 342.8	12
 343.1	10
 343.4	12
 343.7	12
 344.0	12
 344.3	13
 344.6	15
 344.9	18
 345.2	16
 345.5	14
 345.8	13
 346.2	13
 346.5	14
 346.8	14
 347.1	14
 347.4	16
 347.7	16
 348.0	16
 348.3	15
 348.6	14
 348.9	12
 349.2	13
 349.5	14
 349.8	14
 350.1	16
 350.4	16
 350.7	16
 351.0	14
 351.3	14
 351.6	16
 351.9	16
 352.2	16
 352.5	18
 352.8	18
 353.1	17
 353.4	17
 353.7	18
 354.0	14
 354.3	14
 354.6	18
 354.9	19
 355.2	19
 355.5	20
 355.8	20
 356.1	17
 356.4	17
 356.7	18
 357.0	18
 357.3	18
 357.6	18
 357.9	19
 358.2	19
 358.5	18
 358.8	18
 359.1	15
 359.4	15
 359.7	16
 360.0	18
 360.3	20
 360.6	20
 360.9	20
 361.2	18
 361.5	18
 361.8	18
 362.1	18
 362.4	19
 362.7	19
 363.0	21
 363.3	21
 363.6	18
 363.9	18
 364.2	16
 364.5	16
 364.8	18
 365.1	21
 365.4	22
 365.7	22
 366.0	23
 366.3	21
 366.6	18
 367.0	18
 367.3	18
 367.6	18
 367.9	20
 368.2	21
 368.5	20
 368.8	19
 369.1	19
 369.4	17
 369.7	20
 370.0	19
 370.3	21
 370.6	19
 370.9	14
 371.2	23
 371.5	26
 371.8	20
 372.1	13
 372.4	11
 372.7	14
 373.0	21
 373.3	23
 373.6	19
 373.9	16
 374.2	19
 374.5	19
 374.8	20
 375.1	20
 375.4	21
 375.7	18
 376.0	17
 376.3	20
 376.6	19
 376.9	19
 377.2	19
 377.5	19
 377.8	19
 378.1	20
 378.4	21
 378.7	20
 379.0	19
 379.3	21
 379.6	21
 379.9	21
 380.2	19
 380.5	19
 380.8	19
 381.1	21
 381.4	24
 381.7	22
 382.0	22
 382.3	20
 382.6	19
 382.9	19
 383.2	19
 383.5	21
 383.8	21
 384.1	21
 384.4	21
 384.7	19
 385.0	19
 385.3	19
 385.6	21
 385.9	19
 386.2	19
 386.5	23
 386.8	23
 387.1	23
 387.5	21
 387.8	20
 388.1	20
 388.4	21
 388.7	22
 389.0	20
 389.3	19
 389.6	21
 389.9	21
 390.2	21
 390.5	21
 390.8	21
 391.1	20
 391.4	21
 391.7	23
 392.0	22
 392.3	21
 392.6	21
 392.9	21
 393.2	20
 393.5	20
 393.8	20
 394.1	20
 394.4	21
 394.7	22
 395.0	20
 395.3	21
 395.6	21
 395.9	20
 396.2	20
 396.5	20
 396.8	22
 397.1	21
 397.4	21
 397.7	22
 398.0	20
 398.3	19
