[DATA]
0	30200,955441188
1	30200,9501690106
2	30200,9429232406
3	30200,9328530538
4	30200,9571715177
5	30200,9437016318
6	30200,9454075129
7	30200,9385200042
8	30200,9501273596
9	30200,9537102548
10	30200,9511013299
11	30200,9526176693
12	30200,9525244072
13	30200,9458545068
14	30200,946439734
15	30200,9428100585
16	30200,9507159069
17	30200,9455659678
18	30200,9474360387
19	30200,9499770536
20	30200,9476310138
21	30200,9540977906
22	30200,942235697
23	30200,9482627211
24	30200,9591315321
25	30200,9505994047
26	30200,9714816812
27	30200,9450374827
28	30200,9689147062
29	30200,9594372751
30	30200,9500543193
31	30200,9479436984
32	30200,9561625359
33	30200,9459716126
34	30200,955918666
35	30200,9552302163
36	30200,9560028736
37	30200,9535587416
38	30200,9591119139
39	30200,9475057589
40	30200,9585333263
41	30200,9567018869
42	30200,9658129075
43	30200,9453251163
44	30200,9660884687
45	30200,9752257532
46	30200,9669242067
47	30200,9678689016
48	30200,9651827085
49	30200,9645365132
50	30200,9723270778
51	30200,9600493647
52	30200,9599041896
53	30200,9656010303
54	30200,9536040144
55	30200,9639340816
56	30200,9647882306
57	30200,9603146638
58	30200,9592697654
59	30200,9664014554
60	30200,9698560812
61	30200,9641592389
62	30200,9625701598
63	30200,9635362837
64	30200,9618340224
65	30200,9543685225
66	30200,9618575643
67	30200,9603723113
68	30200,9766461164
69	30200,9573438565
70	30200,9568331783
71	30200,9765235776
72	30200,9516615062
73	30200,9540513105
74	30200,9620634051
75	30200,9525512691
76	30200,9592435071
77	30200,9626588947
78	30200,9612575474
79	30200,945987609
80	30200,9600369901
81	30200,9462592462
82	30200,9579327059
83	30200,9496350926
84	30200,9500980831
85	30200,9473189329
86	30200,9407691587
87	30200,9585061625
88	30200,9565790465
89	30200,9459987763
90	30200,9536489855
91	30200,9491657639
92	30200,9465689125
93	30200,9458155722
94	30200,9439421815
95	30200,9623057661
96	30200,9524969417
97	30200,9629779178
98	30200,9501711233
99	30200,9559651462
100	30200,9463114609
101	30200,9556539705
102	30200,9413963385
103	30200,9389597543
104	30200,9377793407
105	30200,9501765561
106	30200,9518006449
107	30200,950456946
108	30200,9475277917
109	30200,9536296691
110	30200,9421695987
111	30200,9449031733
112	30200,945150363
113	30200,9682485906
114	30200,9427131746
115	30200,944505074
116	30200,9626359565
117	30200,946728273
118	30200,9447057836
119	30200,9536858074
120	30200,9533477699
121	30200,9397161125
122	30200,9551487251
123	30200,9486098131
124	30200,9421563186
125	30200,9401890628
126	30200,9418831725
127	30200,9539915503
